0,-6991397559179938969,N000001
1,-3040135413669054139,N000001
2,-2728724620511703460,N000001
3,-1050803095439477557,N000001
4,-2839900124617219549,N000001
5,-2072013409863486554,N000001
6,4705372570865728256,N000001
7,8125508608537392471,N000001
8,5309910164313763743,N000001
9,3174185527319749678,N000001
10,8007311609150816383,N000001
11,-8976973907020487331,N000001
12,-5986507522815803267,N000001
13,-6199213188512469957,N000001
14,-5309515265627423831,N000001
15,-2598077897497820263,N000001
0,-5385632723131098927,N000009
1,4573017984646497625,N000009
2,8712843514993420402,N000009
3,4680220257537567262,N000009
4,9066026619864960711,N000009
5,6910530038166906088,N000009
6,-3587851277384698789,N000009
7,1356822182390726703,N000009
8,7576591032352717876,N000009
9,-7791313876119619552,N000009
10,-2269190333425663973,N000009
11,-4465504362797273108,N000009
12,8895436224024822085,N000009
13,-3616725561012591461,N000009
14,-7166791426127665791,N000009
15,-4223068622442908341,N000009
0,8291157143649977352,N000017
1,5405835836185483884,N000017
2,6906121169750168898,N000017
3,7446302281403544509,N000017
4,6758213303242784792,N000017
5,3262063420696793447,N000017
6,-2887110970848774834,N000017
7,3756091443887020920,N000017
8,-6666965003640248612,N000017
9,318998754049766585,N000017
10,2372413891444466388,N000017
11,-7506520532938404863,N000017
12,8226295164872736419,N000017
13,1544199913592265433,N000017
14,4480601726063529766,N000017
15,473358803884483570,N000017
0,-6529055408271860373,N000025
1,2188268446904995692,N000025
2,6850613029225866581,N000025
3,-3097064092626437460,N000025
4,2180972169073732719,N000025
5,3270828764253708933,N000025
6,-1835525545081049851,N000025
7,3814156539769550336,N000025
8,-7432854709005325406,N000025
9,-6475624758566153297,N000025
10,-4924740736383274332,N000025
11,-1599286239829602651,N000025
12,-5511551965155539249,N000025
13,-404874750209906087,N000025
14,-6180675815992820512,N000025
15,-5430103366757192178,N000025
0,-4394988689364006942,N000033
1,5603349325712766036,N000033
2,593027450102170674,N000033
3,-973899345901942641,N000033
4,-827192656629094137,N000033
5,-990255135225508346,N000033
6,2282252342503332902,N000033
7,-8001456278917146917,N000033
8,4040491302060124266,N000033
9,1306946673409592072,N000033
10,2284844254813604599,N000033
11,-2274721320807364843,N000033
12,-6737841344241706870,N000033
13,-8769693800202048909,N000033
14,-5298866820265750984,N000033
15,6957262718124377615,N000033
0,-5629660491182064866,N000041
1,1091308988272530331,N000041
2,-471194276488532759,N000041
3,-665968431494416314,N000041
4,2232676676127588577,N000041
5,4524694172994776468,N000041
6,4571492689768369849,N000041
7,-4993499201047239097,N000041
8,6116825375405418401,N000041
9,305341794181837723,N000041
10,5319740740692744153,N000041
11,1076908850943242599,N000041
12,-4735934263848154279,N000041
13,-3365395529618639892,N000041
14,3050354638477121886,N000041
15,-7569992783159362189,N000041
0,4268958496473043622,N000049
1,2545338591575206913,N000049
2,-8987679379911827332,N000049
3,-4436258314985892873,N000049
4,5377679093925392467,N000049
5,-8784834102041580737,N000049
6,-4180843077607225631,N000049
7,-5677875619854049213,N000049
8,1561279533145921318,N000049
9,4912965211225305029,N000049
10,3508756314824465872,N000049
11,-2450184599304542056,N000049
12,-7227285659285791497,N000049
13,-8542956344861167830,N000049
14,-8568281394061134932,N000049
15,-2216382682463389021,N000049
0,-1668266761459204313,N000057
1,8470341368827074378,N000057
2,5640471478660570413,N000057
3,455417101177578624,N000057
4,6190732916785564761,N000057
5,219601024137014752,N000057
6,3620932728479199782,N000057
7,-5541847559916795944,N000057
8,-4674728704983636810,N000057
9,-6148809628760079507,N000057
10,5479529880615534542,N000057
11,4905162891523859819,N000057
12,-8447817437000333358,N000057
13,-6352958352922128508,N000057
14,-203126870535153568,N000057
15,-7728042607533788881,N000057
0,-8426512207122292587,N000065
1,2889526480878070315,N000065
2,-1708586907804136199,N000065
3,-811213608024585222,N000065
4,-108119378424392380,N000065
5,6846039628473095479,N000065
6,-7303158436204008303,N000065
7,6638752984417430468,N000065
8,-8432072135176399532,N000065
9,277255029866846873,N000065
10,-3944175052212082755,N000065
11,7837848285274299024,N000065
12,-7521230148352622821,N000065
13,5588355602460953352,N000065
14,-4185899292265170662,N000065
15,1891092776298340723,N000065
0,8268447721948993871,N000073
1,4977959583257118703,N000073
2,602716045996974886,N000073
3,-2552594123739885863,N000073
4,-4705530156691486571,N000073
5,8184236447628757650,N000073
6,-5288977050080521687,N000073
7,-6240215358088462686,N000073
8,5656035856447143040,N000073
9,-7999901595344258119,N000073
10,1324726184665742363,N000073
11,2338619688899337867,N000073
12,9175624667963648336,N000073
13,-7540152511754912434,N000073
14,-4396464000631883849,N000073
15,1624062777104810696,N000073
0,3144964486905096833,N000081
1,2324499794331378417,N000081
2,3788824628024365060,N000081
3,-2150895149083917430,N000081
4,-3400997018366763667,N000081
5,1961381859395693882,N000081
6,6295565763296398316,N000081
7,-2799498233105095808,N000081
8,3508359991928600754,N000081
9,4920020215691818552,N000081
10,8058621351204641503,N000081
11,2203184338810193738,N000081
12,-1534671618088017964,N000081
13,9173763884156289342,N000081
14,5455877078783382457,N000081
15,2545255948268220583,N000081
0,-8005640719701961073,N000089
1,7668735759868935789,N000089
2,-4991694264195554155,N000089
3,7816417729681468476,N000089
4,7176696520162874139,N000089
5,-1251515434556274142,N000089
6,4644326902684423949,N000089
7,-3851298137259698913,N000089
8,-4902574024889542657,N000089
9,-4661834636021736218,N000089
10,-7894352340831747174,N000089
11,-6747826345633125345,N000089
12,-6389804621807816175,N000089
13,-1681110670225329763,N000089
14,6912487833354539557,N000089
15,-5340872642421316258,N000089
0,8486528529196259128,N000097
1,-7967050466288255525,N000097
2,-2174185085653665001,N000097
3,-1730406469360739027,N000097
4,680087024977265728,N000097
5,9149851146776100158,N000097
6,6178194875703572810,N000097
7,-5843394485831718504,N000097
8,-534371992330133551,N000097
9,3050453578786119527,N000097
10,7599976850283320653,N000097
11,1634145397555687134,N000097
12,6151065993234146344,N000097
13,-5724863394932138871,N000097
14,5188492927652492616,N000097
15,-4321229964191205346,N000097
0,-729031646389843665,N000105
1,247585550602187401,N000105
2,3809769365298033034,N000105
3,-9090257582812584212,N000105
4,-1466868764445559524,N000105
5,4399617118837074945,N000105
6,-5179167406432809398,N000105
7,-8910795503150872425,N000105
8,-1305429679715141618,N000105
9,-6581375177957362023,N000105
10,5284014201802811360,N000105
11,-5820225094730872512,N000105
12,7490200505392473125,N000105
13,9028910105508415557,N000105
14,6796025620327661396,N000105
15,5422043629904074381,N000105
0,-961087144189006187,N000113
1,-7134539171332999886,N000113
2,7410630093115855710,N000113
3,-6799111499089425910,N000113
4,-8512405818755750651,N000113
5,-1202455256321918687,N000113
6,-8811697416949179720,N000113
7,7453467807572959439,N000113
8,-3553646514135763097,N000113
9,-3409251692759316556,N000113
10,6526905936844581932,N000113
11,2920757293539867483,N000113
12,-8057991075834289813,N000113
13,-435683180097770404,N000113
14,567380728721715596,N000113
15,7621976380168914949,N000113
0,-5352447009740209540,N000121
1,3920900581302288860,N000121
2,-7972063425346555681,N000121
3,-4864400075180605904,N000121
4,3281655738704364475,N000121
5,4995242035849875859,N000121
6,2224368393217969577,N000121
7,-3696697031861160954,N000121
8,-4589941435210981279,N000121
9,-530640309522655473,N000121
10,-3488824961835790927,N000121
11,4903593242047703993,N000121
12,-99175822020954016,N000121
13,620416662652718587,N000121
14,3933464427163552410,N000121
15,8613470601050171720,N000121
0,-6339905044862881166,N000129
1,2051622414515782711,N000129
2,-3188166787401140039,N000129
3,-1729687960975137104,N000129
4,2339411044089151975,N000129
5,2014431430855501883,N000129
6,7461451477428658466,N000129
7,7846090590008924803,N000129
8,6196451121163507001,N000129
9,-4197678700082248118,N000129
10,2688819934090399291,N000129
11,1063935870417456927,N000129
12,-2081861719180584877,N000129
13,-629305056527185724,N000129
14,8846837310803808706,N000129
15,7095403901410957388,N000129
0,-3420009015678596511,N000137
1,-8864369440428491383,N000137
2,-3183427593744965555,N000137
3,1610354083128073606,N000137
4,2844069439212177011,N000137
5,2448228563771561596,N000137
6,-8058705760760244788,N000137
7,7822270902879786925,N000137
8,-8348553117783235458,N000137
9,-5938428018977337394,N000137
10,8575399519140349959,N000137
11,7078275449658985261,N000137
12,-292875814189382430,N000137
13,3684104424250961114,N000137
14,-444531865847651643,N000137
15,-9112260181122359073,N000137
0,-9007654161539353998,N000145
1,-7720592825860141359,N000145
2,1609827693273092614,N000145
3,9121102127519893319,N000145
4,6436393192733390475,N000145
5,895028487242705964,N000145
6,650534667395358681,N000145
7,1205153900951155392,N000145
8,6922192871439825785,N000145
9,-5973926252131402273,N000145
10,-2982865628416784091,N000145
11,400511130883926082,N000145
12,-5068489674379608138,N000145
13,-9115568592288820787,N000145
14,6890371765378821099,N000145
15,8778763265128455835,N000145
0,6270774724928189384,N000153
1,-3304310800876579164,N000153
2,2647820632988278692,N000153
3,2010224974122997626,N000153
4,5832689387296031027,N000153
5,6618728604082203617,N000153
6,-6091557673470548022,N000153
7,671143728849447462,N000153
8,696877118279809006,N000153
9,7278552944603501963,N000153
10,700308266992231843,N000153
11,5096282072889504596,N000153
12,-1148155027722853149,N000153
13,8496361322889487707,N000153
14,-2037125175881925786,N000153
15,1348501646450110669,N000153
0,-3158837058879990469,N000161
1,9098930066460035908,N000161
2,7102987991137350588,N000161
3,8302069589947555289,N000161
4,1355711773664659788,N000161
5,7761769535556360948,N000161
6,-1303554650183798856,N000161
7,284037144812020518,N000161
8,7624979060572201012,N000161
9,-2934000620632282713,N000161
10,-8854289114799153227,N000161
11,-317392220657997115,N000161
12,-5485400881058526385,N000161
13,-8582944834260697521,N000161
14,-7922123125449148751,N000161
15,7528695744033528295,N000161
0,5048919022102958941,N000169
1,-2230000758075781066,N000169
2,6636153479832731182,N000169
3,-4342531841483615425,N000169
4,-7741164463048643209,N000169
5,-1108073610378742733,N000169
6,-2880151007517543082,N000169
7,-3800458511004536117,N000169
8,4370709553571805959,N000169
9,-6439218369692269769,N000169
10,5347874355577990283,N000169
11,1551953344844666646,N000169
12,8244222068579274946,N000169
13,93145113454584606,N000169
14,-5046929794068925662,N000169
15,3794395841306587543,N000169
0,6399681288660277521,N000177
1,-2907937463342713997,N000177
2,-2710674035554784333,N000177
3,8166925380166102695,N000177
4,-4178244817099927080,N000177
5,-8992808898574557936,N000177
6,-8038123751057862553,N000177
7,752046078200137866,N000177
8,-5310013120852132491,N000177
9,-5798060903184459507,N000177
10,6036585908493814559,N000177
11,4070698129335111166,N000177
12,-9114849887205508491,N000177
13,7523929787236123372,N000177
14,-7201919398413255416,N000177
15,2883643862645940849,N000177
0,-4677434806253600425,N000185
1,6991863763230770669,N000185
2,-7590577474873643437,N000185
3,-95670090213310248,N000185
4,-3170174359763306739,N000185
5,-7075432299445205581,N000185
6,-4653798780279489337,N000185
7,2040285510286753413,N000185
8,1736632625628264935,N000185
9,4474273917400863989,N000185
10,-6690299416219148129,N000185
11,-7015912529323180162,N000185
12,4439489696592487518,N000185
13,9048083002821456976,N000185
14,3509276753386490488,N000185
15,974667234579619746,N000185
0,-7983325632246531198,N000193
1,-7258200673076712960,N000193
2,3976939695130121968,N000193
3,-8865473521457693614,N000193
4,-8576136664266888,N000193
5,1229555148684827247,N000193
6,-4841383577544877343,N000193
7,-1743623107353557305,N000193
8,1209116594912047897,N000193
9,-2086780834053783317,N000193
10,-8751758495809699009,N000193
11,-6260198479916386300,N000193
12,-1783838493049576185,N000193
13,5389166777059305278,N000193
14,-7869619503041048094,N000193
15,2142706134209474754,N000193
0,4179806222870720234,N000201
1,-2650686723275648033,N000201
2,2946277843138811032,N000201
3,-8791986548061887834,N000201
4,-5508775159051275512,N000201
5,-69498306942345220,N000201
6,8097999879828142857,N000201
7,6746782670152964338,N000201
8,-4127951611129322068,N000201
9,-6939670251202939830,N000201
10,2204336322997939809,N000201
11,3004130032439706237,N000201
12,-316146600473434349,N000201
13,-8032781418164135493,N000201
14,-5333481378740273892,N000201
15,-7277846446914167104,N000201
0,5723858027692158911,N000209
1,-8299257415654097669,N000209
2,-3946955032337584350,N000209
3,-2142508307525190308,N000209
4,1539485692448603819,N000209
5,-659507651675007452,N000209
6,8256499836884197818,N000209
7,5959772056165586497,N000209
8,-8202661178136887984,N000209
9,2658510973098051196,N000209
10,-3317483605354065820,N000209
11,-4123816012891631068,N000209
12,6718124973149785183,N000209
13,-8991306633345523452,N000209
14,4958233456211106980,N000209
15,-4128376983874230457,N000209
0,2941534007387552495,N000217
1,8143023396589197305,N000217
2,-1942156554098638367,N000217
3,4526178089212105959,N000217
4,7957761740462975922,N000217
5,-5268347993323214554,N000217
6,-4830136261139834144,N000217
7,-7461364959194874805,N000217
8,-4730945064831066814,N000217
9,552308374457832901,N000217
10,-2217666175886828864,N000217
11,-6106207095486365470,N000217
12,4078420690151299315,N000217
13,-8111790343257376880,N000217
14,-2707072516668595534,N000217
15,-115988429376716825,N000217
0,-7080954704746610167,N000225
1,-6251826166552073800,N000225
2,3751740979140891720,N000225
3,-353147621159265605,N000225
4,-6081567289686019345,N000225
5,-593061757460417248,N000225
6,6951873566360555877,N000225
7,-1817421208185923407,N000225
8,-992804041277900782,N000225
9,-2490343561543565542,N000225
10,-3564200443223221569,N000225
11,6622230891204803870,N000225
12,4989948381425278058,N000225
13,-2149726161514551458,N000225
14,5708592578508916102,N000225
15,7668051357531959607,N000225
0,4837967915865677669,N000233
1,738538821354680612,N000233
2,5313640396294860391,N000233
3,7747262634909535443,N000233
4,-1908467239064980467,N000233
5,8837091483231002457,N000233
6,436511267008076459,N000233
7,-1733699498925384510,N000233
8,7070973309301690346,N000233
9,-5696562831002786554,N000233
10,-1167439227387460906,N000233
11,324883111916460913,N000233
12,542294947597461276,N000233
13,1291906174040805393,N000233
14,-8919290379358449609,N000233
15,-7225336941029714327,N000233
0,2255785638622570185,N000241
1,3305564567254267627,N000241
2,4866032846604617647,N000241
3,3725898420701175013,N000241
4,1954254246889309177,N000241
5,-494115935399672500,N000241
6,-9144434007488651589,N000241
7,-5748672315666734662,N000241
8,-7356096543394599366,N000241
9,8496421913320880239,N000241
10,7061034594264727759,N000241
11,-5355849143935598200,N000241
12,-6327124035730649115,N000241
13,-3992482633211230254,N000241
14,3067480441816876889,N000241
15,-1878531033350711356,N000241
0,6611439396219803090,N000249
1,-2060991766127964222,N000249
2,5229706829672862129,N000249
3,7293095178041566275,N000249
4,5899373641148420247,N000249
5,8980899155305158340,N000249
6,8314944593165456324,N000249
7,8690592526895627364,N000249
8,-6188787245607144727,N000249
9,-3785255216665746871,N000249
10,-854485895014306424,N000249
11,-7629712564336451265,N000249
12,5244100816964978818,N000249
13,8336976760508656908,N000249
14,9012182819881182512,N000249
15,-3001873413338455205,N000249
0,8980971404276747528,N000257
1,4758053157818806734,N000257
2,-7192398755534643048,N000257
3,-7961734075593114532,N000257
4,3797627222793952679,N000257
5,-3776759402329865469,N000257
6,5139167417901937851,N000257
7,-8833718533991998187,N000257
8,-3356364204141580677,N000257
9,-5898469698309818162,N000257
10,-6143874694224651588,N000257
11,-4376458132551617902,N000257
12,-7421519579794537726,N000257
13,3660736476216826836,N000257
14,4681793358181935251,N000257
15,5006711457117519430,N000257
0,-1151952360843974790,N000265
1,1310195031315978132,N000265
2,2024523195335395746,N000265
3,7998489712599629396,N000265
4,8245240349473929996,N000265
5,2561763796705014512,N000265
6,-5165328312526983821,N000265
7,6576819294552693635,N000265
8,5324820379379168476,N000265
9,2294270905867323864,N000265
10,-5837147105253727723,N000265
11,7548955041906798125,N000265
12,-6295254074830845034,N000265
13,-1882266945162787341,N000265
14,4534409480053678238,N000265
15,4439206732377442848,N000265
0,-7683775119571341347,N000273
1,-7826154996963050339,N000273
2,607878523253283664,N000273
3,-3023615174220180863,N000273
4,1766371031621012919,N000273
5,-226429452030671940,N000273
6,-6645675244475175076,N000273
7,5014927642318528437,N000273
8,7934525910491850410,N000273
9,-9219379468997645928,N000273
10,-8715476690631043519,N000273
11,-6759779427854354016,N000273
12,-8990341626598049694,N000273
13,8906471119921667035,N000273
14,8936522102446960695,N000273
15,5219234123370316598,N000273
0,-5106507904485911314,N000281
1,-4544060994553903424,N000281
2,203418011694414490,N000281
3,-4674625435907951326,N000281
4,-8677301067263542677,N000281
5,-7915403642628083890,N000281
6,6596466936672113733,N000281
7,7207872260637684703,N000281
8,-6073825586064539719,N000281
9,-3981448412241630906,N000281
10,7356958307392392813,N000281
11,9153177628646514243,N000281
12,3654314719282791847,N000281
13,-3849356697845360645,N000281
14,4293226672280257656,N000281
15,8776468176349005233,N000281
0,-1317187044129849839,N000289
1,7637785807887649226,N000289
2,-7482981004593697152,N000289
3,3863098729186102536,N000289
4,182090888020758136,N000289
5,-5707653839353793150,N000289
6,9210205267790198800,N000289
7,-98084386136840776,N000289
8,-759885074269790922,N000289
9,119929761716888105,N000289
10,4549369681459147259,N000289
11,8029725653362132589,N000289
12,7164547617254475569,N000289
13,4111008672036852518,N000289
14,6283251445530930597,N000289
15,1178942688833028254,N000289
0,-1407335837070014916,N000297
1,-1662567795874445684,N000297
2,-6890748898245150360,N000297
3,-3824427925180099202,N000297
4,6459382437870269237,N000297
5,-8627987489038107589,N000297
6,3908142244077958400,N000297
7,2149873960116806738,N000297
8,-1863464935735318266,N000297
9,-5390929185453812477,N000297
10,1903920543865386785,N000297
11,-2015402910059847938,N000297
12,-7442149356228692451,N000297
13,-5492202555009814966,N000297
14,-8165190498697088630,N000297
15,294970765129255983,N000297
0,-5038970770545807948,N000305
1,7434048547515020723,N000305
2,-645466773916503539,N000305
3,-7436054539715281752,N000305
4,694149739604589598,N000305
5,1236191757785328779,N000305
6,-3728643214230143851,N000305
7,-5058526368333967920,N000305
8,8017296458544441331,N000305
9,-2600990058474154697,N000305
10,-5097280518316998754,N000305
11,-8876193867507502232,N000305
12,3350153194943110002,N000305
13,5625752099814292358,N000305
14,-3936576568486923009,N000305
15,-941050701838648400,N000305
0,-6376882927077625867,N000313
1,-7296573023078846581,N000313
2,-3252732049182804013,N000313
3,7686352616089364133,N000313
4,-6624884605774820301,N000313
5,3399547165160084217,N000313
6,-7025653896651005458,N000313
7,5900218532818048322,N000313
8,-178328052662594469,N000313
9,-2718408624403223428,N000313
10,-3519987131568513126,N000313
11,6238666742378209407,N000313
12,-380430585138993192,N000313
13,-3320795580180236180,N000313
14,89175579083391581,N000313
15,-1406787621586981460,N000313
0,5443764171456342650,N000321
1,1660701500102463044,N000321
2,552765278912783655,N000321
3,-5253255972093908720,N000321
4,-6465033393925980179,N000321
5,5308801762025282474,N000321
6,-7074149136101328975,N000321
7,7252313418870496671,N000321
8,4559214174894830287,N000321
9,-3364181360737388717,N000321
10,4919575386937026091,N000321
11,8561826021589952739,N000321
12,-2825086875414783384,N000321
13,-6852055645494422980,N000321
14,859290239026675967,N000321
15,-4754670156470840659,N000321
0,-5004583375059712774,N000329
1,5643171645656154626,N000329
2,3974945178804437791,N000329
3,1767728802685642292,N000329
4,1315148277307748096,N000329
5,1072991948128911273,N000329
6,-3146565407649776486,N000329
7,8237202979053855137,N000329
8,-2272344677904730935,N000329
9,7706719691770987118,N000329
10,7010076283289528972,N000329
11,7606617041840515715,N000329
12,5787857160099586860,N000329
13,-5047117613735443363,N000329
14,7707751995802237228,N000329
15,-3635117975756452294,N000329
0,5022718905094197420,N000337
1,-4874892497932239449,N000337
2,620840642204301258,N000337
3,8150202043141907965,N000337
4,-6306638262432691070,N000337
5,-9058300020701200330,N000337
6,-1152748347231531518,N000337
7,-3396058330406985946,N000337
8,3055049692545426121,N000337
9,-4738037123241340316,N000337
10,-1892542521721622112,N000337
11,-6840241948222473153,N000337
